"Geslacht";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen"
"1975";"100000";"98933";"98742";"98674";"98615";"98575";"98540";"98507";"98475";"98456";"98427";"98404";"98389";"98374";"98353";"98330";"98293";"98254";"98217";"98157";"98099";"98029";"97963";"97909";"97845";"97765";"97710";"97651";"97596";"97532";"97461";"97402";"97343";"97291";"97230";"97168";"97105";"97047";"96983";"96914";"96846";"96751";"96655";"96556";"96444";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"99203";"99052";"98997";"98950";"98917";"98888";"98872";"98854";"98835";"98824";"98808";"98791";"98770";"98752";"98732";"98709";"98681";"98655";"98632";"98608";"98578";"98543";"98511";"98492";"98460";"98429";"98396";"98357";"98325";"98291";"98265";"98232";"98197";"98165";"98133";"98087";"98039";"97989";"97929";"97869";"97818";"97747";"97667";"97596";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1976";"100000";"98965";"98805";"98724";"98659";"98623";"98576";"98545";"98516";"98496";"98475";"98452";"98435";"98417";"98398";"98379";"98360";"98318";"98268";"98221";"98171";"98111";"98045";"97980";"97922";"97851";"97783";"97722";"97667";"97609";"97554";"97493";"97434";"97368";"97309";"97242";"97188";"97128";"97062";"96979";"96887";"96817";"96729";"96629";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"99144";"98991";"98910";"98877";"98846";"98829";"98807";"98788";"98777";"98761";"98743";"98725";"98713";"98693";"98671";"98656";"98632";"98612";"98570";"98545";"98525";"98494";"98472";"98445";"98415";"98390";"98363";"98330";"98305";"98272";"98237";"98200";"98164";"98124";"98079";"98045";"98011";"97975";"97932";"97874";"97804";"97749";"97662";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1977";"100000";"99028";"98825";"98746";"98701";"98663";"98632";"98595";"98569";"98548";"98529";"98518";"98498";"98485";"98464";"98446";"98418";"98379";"98339";"98284";"98221";"98153";"98077";"98004";"97939";"97887";"97840";"97788";"97742";"97693";"97646";"97578";"97528";"97478";"97416";"97350";"97285";"97201";"97129";"97064";"97003";"96928";"96836";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"99312";"99152";"99090";"99044";"99008";"98979";"98962";"98937";"98928";"98916";"98902";"98894";"98873";"98845";"98820";"98800";"98788";"98765";"98743";"98713";"98683";"98659";"98634";"98607";"98580";"98538";"98509";"98482";"98457";"98422";"98395";"98363";"98332";"98296";"98260";"98223";"98174";"98121";"98078";"98026";"97966";"97910";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1978";"100000";"99049";"98884";"98811";"98749";"98715";"98681";"98646";"98631";"98617";"98603";"98587";"98566";"98544";"98521";"98497";"98458";"98423";"98363";"98318";"98271";"98204";"98152";"98080";"98005";"97935";"97874";"97820";"97771";"97729";"97679";"97615";"97571";"97521";"97474";"97414";"97351";"97286";"97214";"97151";"97064";"96992";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"99307";"99170";"99105";"99055";"99025";"98998";"98974";"98964";"98944";"98935";"98918";"98902";"98877";"98853";"98830";"98813";"98793";"98776";"98747";"98719";"98695";"98667";"98640";"98612";"98580";"98553";"98529";"98507";"98483";"98450";"98420";"98390";"98362";"98328";"98288";"98261";"98227";"98179";"98129";"98065";"98007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1979";"100000";"99127";"98937";"98865";"98808";"98767";"98736";"98705";"98673";"98649";"98627";"98599";"98578";"98565";"98544";"98510";"98484";"98426";"98375";"98314";"98245";"98183";"98107";"98057";"98000";"97950";"97901";"97855";"97801";"97749";"97700";"97650";"97597";"97539";"97464";"97413";"97342";"97279";"97213";"97139";"97064";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"99358";"99213";"99143";"99106";"99080";"99065";"99053";"99041";"99027";"99014";"98998";"98983";"98961";"98943";"98929";"98914";"98889";"98863";"98844";"98817";"98791";"98761";"98734";"98712";"98689";"98668";"98640";"98613";"98585";"98560";"98533";"98499";"98459";"98420";"98383";"98350";"98314";"98258";"98202";"98147";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1980";"100000";"99173";"99011";"98942";"98895";"98855";"98833";"98806";"98790";"98761";"98741";"98721";"98709";"98692";"98675";"98654";"98634";"98587";"98555";"98503";"98445";"98383";"98329";"98274";"98209";"98154";"98100";"98053";"98011";"97953";"97909";"97862";"97822";"97761";"97724";"97668";"97609";"97549";"97486";"97415";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"99365";"99222";"99152";"99125";"99100";"99075";"99058";"99049";"99035";"99024";"99011";"98999";"98982";"98968";"98949";"98925";"98909";"98883";"98860";"98844";"98816";"98796";"98775";"98744";"98723";"98705";"98684";"98660";"98634";"98613";"98577";"98548";"98518";"98479";"98441";"98389";"98346";"98302";"98257";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1981";"100000";"99188";"99008";"98933";"98899";"98874";"98852";"98826";"98805";"98785";"98769";"98751";"98736";"98717";"98698";"98675";"98646";"98614";"98569";"98521";"98442";"98375";"98320";"98269";"98229";"98193";"98151";"98108";"98062";"98032";"97999";"97945";"97902";"97857";"97797";"97745";"97679";"97607";"97527";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"99386";"99228";"99164";"99127";"99096";"99073";"99049";"99025";"99014";"99003";"98992";"98981";"98956";"98947";"98930";"98913";"98895";"98877";"98856";"98828";"98807";"98791";"98765";"98742";"98720";"98706";"98687";"98666";"98642";"98623";"98597";"98562";"98535";"98501";"98467";"98423";"98389";"98353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1982";"100000";"99208";"99038";"98971";"98915";"98875";"98854";"98829";"98809";"98796";"98782";"98765";"98751";"98737";"98719";"98696";"98675";"98639";"98588";"98531";"98467";"98385";"98339";"98290";"98234";"98181";"98143";"98106";"98052";"98011";"97961";"97908";"97865";"97813";"97753";"97699";"97654";"97594";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"99399";"99249";"99198";"99166";"99154";"99141";"99123";"99110";"99099";"99084";"99076";"99067";"99046";"99024";"99008";"98991";"98968";"98937";"98915";"98892";"98865";"98846";"98817";"98787";"98766";"98758";"98726";"98697";"98677";"98645";"98619";"98587";"98558";"98529";"98491";"98445";"98408";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1983";"100000";"99220";"99022";"98969";"98925";"98896";"98872";"98853";"98821";"98806";"98781";"98764";"98748";"98730";"98710";"98683";"98659";"98622";"98579";"98532";"98462";"98403";"98351";"98313";"98263";"98209";"98172";"98111";"98076";"98032";"97986";"97931";"97871";"97820";"97752";"97706";"97642";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"99361";"99208";"99171";"99128";"99091";"99076";"99059";"99050";"99038";"99030";"99012";"98999";"98985";"98964";"98949";"98932";"98911";"98884";"98863";"98832";"98811";"98788";"98756";"98738";"98715";"98694";"98669";"98647";"98622";"98593";"98569";"98543";"98520";"98475";"98442";"98401";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1984";"100000";"99193";"99040";"98981";"98939";"98908";"98880";"98851";"98835";"98816";"98800";"98783";"98766";"98754";"98736";"98716";"98690";"98652";"98618";"98566";"98512";"98459";"98409";"98364";"98328";"98283";"98236";"98190";"98147";"98106";"98049";"98005";"97954";"97902";"97829";"97780";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100000";"99419";"99265";"99209";"99181";"99164";"99147";"99128";"99113";"99098";"99087";"99074";"99061";"99050";"99035";"99025";"99008";"98980";"98960";"98940";"98910";"98891";"98865";"98847";"98827";"98800";"98783";"98760";"98735";"98720";"98693";"98662";"98639";"98600";"98564";"98534";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
