Count,Ranking,Name,Gender,Year
0,10779.0,1,JACK,M,1996.0
1,10338.0,2,DANIEL,M,1996.0
2,9603.0,3,THOMAS,M,1996.0
3,9385.0,4,JAMES,M,1996.0
4,7887.0,5,JOSHUA,M,1996.0
5,7426.0,6,MATTHEW,M,1996.0
6,6496.0,7,RYAN,M,1996.0
7,6193.0,8,JOSEPH,M,1996.0
8,6161.0,9,SAMUEL,M,1996.0
9,5802.0,10,LIAM,M,1996.0
10,5750.0,11,JORDAN,M,1996.0
11,5664.0,12,LUKE,M,1996.0
12,5009.0,13,CONNOR,M,1996.0
13,4840.0,14,ALEXANDER,M,1996.0
14,4805.0,15,BENJAMIN,M,1996.0
15,4538.0,16,ADAM,M,1996.0
16,4434.0,17,HARRY,M,1996.0
17,4331.0,18,JAKE,M,1996.0
18,4287.0,19,GEORGE,M,1996.0
19,4281.0,20,CALLUM,M,1996.0
20,4269.0,21,WILLIAM,M,1996.0
21,4187.0,22,MICHAEL,M,1996.0
22,3655.0,23,OLIVER,M,1996.0
23,3569.0,24,LEWIS,M,1996.0
24,3483.0,25,CHRISTOPHER,M,1996.0
25,2882.0,26,KIERAN,M,1996.0
26,2744.0,27,NATHAN,M,1996.0
27,2688.0,28,JAMIE,M,1996.0
28,2676.0,29,ANDREW,M,1996.0
29,2644.0,30,ROBERT,M,1996.0
30,2557.0,31,BRADLEY,M,1996.0
31,2517.0,32,DAVID,M,1996.0
32,2511.0,33,AARON,M,1996.0
33,2332.0,34,BEN,M,1996.0
34,2249.0,35,JACOB,M,1996.0
35,2112.0,36,MOHAMMED,M,1996.0
36,2046.0,37,KYLE,M,1996.0
37,1912.0,38,CHARLIE,M,1996.0
38,1881.0,39,JONATHAN,M,1996.0
39,1874.0,40,ASHLEY,M,1996.0
40,1811.0,41,REECE,M,1996.0
41,1791.0,42,CAMERON,M,1996.0
42,1762.0,43,ALEX,M,1996.0
43,1738.0,44,CHARLES,M,1996.0
44,1658.0,45,EDWARD,M,1996.0
45,1649.0,46,JOHN,M,1996.0
46,1638.0,47,SAM,M,1996.0
47,1632.0,48,SCOTT,M,1996.0
48,1594.0,49,SEAN,M,1996.0
49,1567.0,50,JOE,M,1996.0
50,1519.0,51.0,DOMINIC,M,1996.0
51,1385.0,52.0,NICHOLAS,M,1996.0
52,1337.0,53.0,BRANDON,M,1996.0
53,1259.0,54.0,RHYS,M,1996.0
54,1222.0,55.0,MARK,M,1996.0
55,1192.0,56.0,MAX,M,1996.0
56,1186.0,57.0,DYLAN,M,1996.0
57,1135.0,58.0,HENRY,M,1996.0
58,1128.0,59.0,PETER,M,1996.0
59,1122.0,60.0,STEPHEN,M,1996.0
60,1100.0,61.0,LOUIS,M,1996.0
61,1089.0,62.0,RICHARD,M,1996.0
62,1081.0,63.0,CONOR,M,1996.0
63,1053.0,64.0,LEE,M,1996.0
64,1045.0,65.0,ANTHONY,M,1996.0
65,1039.0,66.0,PATRICK,M,1996.0
66,1007.0,67.0,TYLER,M,1996.0
67,1004.0,68.0,ROSS,M,1996.0
68,1001.0,69.0,JASON,M,1996.0
69,919.0,70.0,ELLIOT,M,1996.0
70,914.0,71.0,BILLY,M,1996.0
71,898.0,72.0,PAUL,M,1996.0
72,877.0,73.0,STEVEN,M,1996.0
73,846.0,74.0,SHANE,M,1996.0
74,793.0,75.0,JOEL,M,1996.0
75,773.0,76.0,SHAUN,M,1996.0
76,761.0,77.0,TOBY,M,1996.0
77,757.0,78.0,CURTIS,M,1996.0
78,725.0,79.0,MITCHELL,M,1996.0
79,719.0,80.0,DEAN,M,1996.0
80,705.0,81.0,CRAIG,M,1996.0
81,691.0,82.0,TIMOTHY,M,1996.0
