name,frequency,percentage,ranking,gender,year
49,Pasquale,1113.0,0.42,50.0,M,1999.0
56,Sofia,3025.0,1.21,13.0,F,1999.0
31,Alessio,4453.0,1.69,14.0,M,1999.0
82,Laura,2829.0,1.13,15.0,F,1999.0
57,Aurora,2920.0,1.17,15.0,F,1999.0
7,Federico,4315.0,1.63,15.0,M,1999.0
32,Giovanni,4094.0,1.55,16.0,M,1999.0
8,Gabriele,4039.0,1.53,17.0,M,1999.0
58,Ilaria,2759.0,1.1,17.0,F,1999.0
83,Alessandra,2535.0,1.01,17.0,F,1999.0
33,Michele,3611.0,1.37,18.0,M,1999.0
59,Silvia,2515.0,1.0,19.0,F,1999.0
9,Daniele,3334.0,1.26,19.0,M,1999.0
84,Arianna,2481.0,0.99,19.0,F,1999.0
34,Stefano,3063.0,1.16,20.0,M,1999.0
10,Leonardo,2899.0,1.1,21.0,M,1999.0
85,Giada,2393.0,0.96,21.0,F,1999.0
60,Beatrice,2402.0,0.96,21.0,F,1999.0
35,Nicola,2792.0,1.06,22.0,M,1999.0
11,Salvatore,2702.0,1.02,23.0,M,1999.0
86,Maria,2315.0,0.92,23.0,F,1999.0
61,Eleonora,2341.0,0.93,23.0,F,1999.0
81,Elena,2923.0,1.17,13.0,F,1999.0
6,Mattia,4497.0,1.7,13.0,M,1999.0
30,Riccardo,4634.0,1.76,12.0,M,1999.0
55,Valentina,3299.0,1.32,11.0,F,1999.0
0,Andrea,10336.0,3.91,1.0,M,1999.0
50,Martina,8773.0,3.5,1.0,F,1999.0
75,Alessia,8491.0,3.39,1.0,F,1999.0
25,Francesco,9494.0,3.6,2.0,M,1999.0
76,Chiara,7840.0,3.13,3.0,F,1999.0
51,Giulia,8411.0,3.36,3.0,F,1999.0
1,Alessandro,9000.0,3.41,3.0,M,1999.0
26,Matteo,8703.0,3.3,4.0,M,1999.0
77,Francesca,7006.0,2.8,5.0,F,1999.0
2,Luca,7799.0,2.95,5.0,M,1999.0
36,Emanuele,2693.0,1.02,24.0,M,1999.0
52,Sara,7186.0,2.87,5.0,F,1999.0
78,Giorgia,4240.0,1.69,7.0,F,1999.0
